expName,subject_exp,noise,cue_n_label,abs_td_dist,bias_to_distr_corr,is_outlier
color_2,S10.color.2,high - low,First report,49.75,4.00407602053331,0.0
color_2,S10.color.2,low - low,First report,68.06,-6.07055711019085,0.0
color_2,S10.color.2,high - high,First report,54.95,-32.4946034952154,0.0
color_2,S10.color.2,low - low,First report,105.0,13.3956091184852,0.0
color_2,S10.color.2,high - low,First report,72.53,-14.6207040035119,0.0
color_2,S10.color.2,low - high,First report,80.4,8.78891892836594,0.0
color_2,S10.color.2,high - high,First report,80.39,-7.62149934335143,0.0
color_2,S10.color.2,high - high,First report,37.87,22.8165718839774,0.0
color_2,S10.color.2,low - high,First report,62.59,-2.31151207871035,0.0
color_2,S10.color.2,low - high,First report,157.69,-11.0542355261045,0.0
color_2,S10.color.2,high - high,First report,43.87,39.4797059126048,1.0
color_2,S10.color.2,low - high,First report,154.46,6.07012347745586,0.0
color_2,S10.color.2,low - low,First report,122.11,1.72182113467608,0.0
color_2,S10.color.2,high - high,First report,54.88,-23.8702605322857,0.0
color_2,S10.color.2,low - high,First report,117.84,-77.4701945406687,1.0
color_2,S10.color.2,high - high,First report,0.780000000000002,-3.65144304752461,0.0
color_2,S10.color.2,low - low,First report,173.32,1.28544898016427,0.0
color_2,S10.color.2,low - high,First report,39.94,0.075227148447766,0.0
color_2,S10.color.2,low - low,First report,108.38,-0.11634996443011,0.0
color_2,S10.color.2,high - low,First report,154.44,-21.3306883835591,0.0
color_2,S10.color.2,low - low,First report,143.18,-21.4103808267771,0.0
color_2,S10.color.2,low - low,First report,163.52,-13.5840512822259,0.0
color_2,S10.color.2,high - high,First report,28.44,-56.5846187355283,1.0
color_2,S10.color.2,low - high,First report,17.85,7.05314249134625,0.0
color_2,S10.color.2,low - high,First report,92.55,8.58465255520313,0.0
color_2,S10.color.2,low - low,First report,90.91,-9.07874621262004,0.0
color_2,S10.color.2,high - low,First report,104.69,4.19424052950481,0.0
color_2,S10.color.2,high - high,First report,146.94,-0.195251799919969,0.0
color_2,S10.color.2,low - low,First report,125.57,8.552169852644,0.0
color_2,S10.color.2,high - low,First report,105.83,-19.3997989684946,0.0
color_2,S10.color.2,low - high,First report,114.74,13.0341233539496,0.0
color_2,S10.color.2,high - low,First report,63.47,16.1455793133121,0.0
color_2,S10.color.2,low - high,First report,116.12,-3.68456876671444,0.0
color_2,S10.color.2,high - low,First report,30.3500000000001,19.9269030396413,0.0
color_2,S10.color.2,high - low,First report,150.04,-12.4740005894259,0.0
color_2,S10.color.2,high - low,First report,159.34,-2.53682881628347,0.0
color_2,S10.color.2,low - low,First report,2.31000000000001,12.7003277737848,0.0
color_2,S10.color.2,high - low,First report,11.81,16.7780081551536,0.0
color_2,S10.color.2,high - high,First report,61.46,-22.6010732729114,0.0
color_2,S10.color.2,low - high,First report,83.46,2.5217515065912,0.0
color_2,S10.color.2,low - low,First report,95.28,-3.80809351813048,0.0
color_2,S10.color.2,low - low,First report,52.39,-16.8166811455317,0.0
color_2,S10.color.2,low - low,First report,17.43,9.77153069587203,0.0
color_2,S10.color.2,high - high,First report,124.86,0.700548318382989,0.0
color_2,S10.color.2,low - high,First report,9.26999999999998,-0.0894918778776432,0.0
color_2,S10.color.2,high - low,First report,162.83,-31.3296046923738,0.0
color_2,S10.color.2,high - low,First report,143.48,-5.98233382536827,0.0
